analysis_type,dimension,dimension_value,base_substance_group,role,product_count,denominator_products,proportion
preservative_usage,all,all,BENZALKONIUM CHLORIDE,preservative,2,494,0.004049
preservative_usage,all,all,SORBIC ACID,preservative,1,494,0.002024
preservative_usage,all,all,CHLOROBUTANOL,preservative,1,494,0.002024
preservative_usage,dosage_form,ophthalmic_solution,BENZALKONIUM CHLORIDE,preservative,2,423,0.004728
preservative_usage,dosage_form,ophthalmic_solution,SORBIC ACID,preservative,1,423,0.002364
preservative_usage,dosage_form,ophthalmic_solution,CHLOROBUTANOL,preservative,1,423,0.002364
preservative_status,all,all,confirmed_preservative_free,preservative_status,1,494,0.002024
preservative_status,all,all,contains_preservative,preservative_status,4,494,0.008097
preservative_status,all,all,unknown,preservative_status,489,494,0.989879
