category_id,indication_category,product_count,active_product_count,ingredient_count,indication_count,top_ingredients,top_indications
CAT01,肌肉骨骼疼痛與發炎,281,152,63,78,Menthol;Camphor;Methyl salicylate;Glycol Salicylate;Capsicum;Indomethacin;Ketoprofen;Thymol;Diphenhydramine Hcl;Diclofenac,腰痛;關節痛;暫時緩解局部疼痛;筋肉痛;肌肉痛;肩膀酸痛;肩關節周圍炎;腱周圍炎;肌肉疲勞;風濕痛
CAT02,外傷與軟組織損傷,136,63,51,39,Menthol;Camphor;Methyl salicylate;Flurbiprofen;Thymol;Glycol Salicylate;Tocopherol Acetate Alpha Dl-;Mentha Oil;Peppermint Oil (Oleum Menth Pip);Diphenhydramine Hcl,扭傷;跌打損傷;打撲傷;打撲;捻挫;骨折痛;扭挫傷;外傷後之腫脹;凍傷;挫傷
CAT03,神經痛與局部麻醉,89,24,47,10,Methyl salicylate;Menthol;Camphor;Thymol;Zinc Oxide;Borneol;Diphenhydramine;Peppermint Oil (Oleum Menth Pip);Capsicum;Scopolia Extract,神經痛;坐骨神經痛;坐骨神經痛之緩解;用於緩解皰疹後神經痛(Post-herpetic Neuralgia);主治神精痛;坐骨神精痛;用於緩解皰疹神經痛(post-herpetic Neuralgia);神精痛;神經抽痛;神經炎
CAT04,全身性疼痛控制,33,16,2,8,Fentanyl;Buprenorphine,需要使用類鴉片製劑控制的慢性疼痛和頑固性疼痛;需要使用鴉片類製劑控制的慢性疼痛;在長期需要類鴉片藥物之止痛效果時;用於中度非癌症疼痛的治療;需要使用類鴉片製劑控制的慢性疼痛和頑固疼痛;以及對非類鴉片鎮痛劑無效之重度疼痛;需要長期全天性使用類鴉片鎮痛劑之中度至重度癌症疼痛;短期使用於控制手術後疼痛
CAT05,戒菸治療,23,10,1,3,Nicotine,幫助戒菸;幫助戒煙;戒菸輔助劑
CAT06,心血管治療,11,1,3,6,Nitroglycerin;Lactose Anhydrous;Triglycerides Medium Chain,預防及治療冠狀動脈疾病引起之狹心症發作;預防或治療冠狀動脈疾病引起久狹心症;預防或治療冠狀動脈疾病引起之狹心症;預防及治療冠狀動脈疾病引起之狹心症;預防及治療冠狀和動脈疾病引起之狹心症發作;預防狹心症之發作
CAT07,巴金森氏症與失智症,12,12,3,3,Rivastigmine;Rotigotine;Donepezil,輕度至中度阿滋海默氏病之失智症;原發性帕金森氏症;阿滋海默症
CAT09,荷爾蒙與生殖系統治療,8,0,2,5,Estradiol;Norelgestromin,停經後骨質疏鬆症之防治;自然或手術引起之停經症候群;自然停經或手術後引起之停經症候群;預防停經後的骨質疏鬆症;女性避孕用
CAT10,止吐與暈動症,5,1,6,9,Cajuput Oil;Scopolamine;Clove Oil;Granisetron;Camphor;Menthol,嘔吐;噁心;頭暈目眩;暈機)引起之頭暈;暈船;預防或緩解動暈症(暈車;預防暈動病引起之眩暈;預防連續5天使用中度及/或高度致吐性化學療法療程的病人所引起的噁心及嘔吐;頭痛等症狀
CAT11,泌尿與膀胱功能治療,2,1,1,1,Oxybutynin,膀胱過動症
CAT12,皮膚局部治療,26,2,16,30,Salicylic acid;Cajuput Oil;Ethacridine Lactate Monohydrate (Acrinol);Fluocinolone Acetonide;Triamcinolone (Acetonide);Clove Oil;Benzalkonium Chloride;Crotamiton;Isopropyl Methyl Phenol;Prednisolone,治療疣。;胼胝;雞眼;濕疹;疣贅;角質剝離劑;剝落性皮膚炎;口腔黏膜潰瘍之緩解;周邊癢痛;接觸性或皮脂溢出性皮膚炎
CAT13,其他治療用途,3,0,9,6,Polyvinyl Acetate;Prednisolone;Borneol;Diphenhydramine;Zinc Oxide;Thymol;Methyl salicylate;Camphor;Menthol,乳腺炎;假牙安定劑;原發性副腎皮質機能不全;急性淋巴性白血病;藥物及食物過敏;重症支氣管氣喘
CAT14,頸部以上部位疼痛,8,4,15,4,Cajuput Oil;Clove Oil;Zinc Oxide;Camphor;Menthol;Methyl salicylate;Borneol;Peppermint Oil (Oleum Menth Pip);Chlorpheniramine Maleate;Thymol,頭痛;牙痛;牙痛耳痛;齒痛
CAT15,扁桃腺炎,1,0,7,1,Borneol;Diphenhydramine;Zinc Oxide;Thymol;Methyl salicylate;Camphor;Menthol,扁桃腺炎
CAT99,待人工確認,54,23,27,22,Flurbiprofen;Lidocaine;Tocopherol Acetate Alpha (Eq To Vit E Acetate) (Eq To Vitamin E Acetate);Buprenorphine;Menthol;Camphor;Methyl salicylate;Glycol Salicylate;Tocopherol Acetate;Cajuput Oil,疼痛等諸症狀的鎮痛;（筋肉痛;使用部位僅限於未受損的皮膚;舒免疼不適用於治療急性疼痛;說明：本品療效主要建立在已使用過類鴉片止痛藥物病患或已對本藥品可耐受且有止痛反應之病患所進行之臨床試驗;神經骨痛;肌腱;胸膛及腳部痛;說明：僅限使用於曾經使用過類鴉片藥物的患者;（關節痛
